,x,y
0,-50.033932081822584,66.78463226760421
1,-49.72843475350892,60.879367246085685
2,-47.66544595870373,4.675673234043657
3,-45.70531572701286,53.91447264827759
4,-44.48334834221632,85.07578286205015
5,-42.1944378748439,48.544438097646974
6,-40.84506773635384,36.00740062099069
7,-39.74127211873365,21.562840066010352
8,-38.50186527596885,57.92645275241037
9,-38.45006829947623,36.8858218941118
10,-38.20733469866762,98.34701139446409
11,-37.60583995607983,42.70179157543134
12,-37.26566678567774,50.19976278379907
13,-37.21799745934145,40.02190713408022
14,-37.09436127776833,66.33353415723967
15,-36.3848508463648,39.87728119107905
16,-36.31909200222384,30.537036644908955
17,-35.492844437220654,62.991519886424825
18,-35.364353313383546,86.0643501547259
19,-35.328932423749876,68.78004481812836
20,-35.326938667379125,29.756093991271882
21,-34.983941798569546,76.29082138393957
22,-34.00516760637174,57.5342817473183
23,-33.81971307530486,32.31476082349826
24,-33.537220365415095,87.67958353939356
25,-33.51782052739972,33.60288365572657
26,-32.98162774500774,17.286988676343846
27,-32.76896983979351,4.8044384548914465
28,-32.69789617510716,6.207541217308119
29,-32.058072101671655,50.50783967267774
30,-31.472909573041363,26.247471564695303
31,-31.084752880353577,49.63939765941678
32,-31.016688333648958,31.092455709371293
33,-30.759813588492435,-6.13060995512086
34,-30.559407372339606,51.90280304762389
35,-30.383266719739495,41.60103241330685
36,-30.249794409883577,23.328610495301387
37,-30.11840455659555,31.35134602831766
38,-30.062409687679263,59.069747586141816
39,-30.008278205180233,57.58386607429141
40,-29.95285304152958,62.309467259486354
41,-29.899979340659726,16.32082580698907
42,-29.842611738494867,18.20427794299529
43,-29.681062493537667,50.77865477035872
44,-29.566365856996796,59.05984374394302
45,-29.305596465884335,11.816985420945315
46,-29.151892246030002,33.097448130379775
47,-29.146023605578947,4.870756649315702
48,-28.61479148302095,46.284995945890486
49,-28.260681539489312,59.54517853850194
50,-28.212918993841768,77.17069797221575
51,-27.90025239826457,34.73682230861823
52,-27.74783666921887,19.2623615601595
53,-27.654562150799705,4.099192124859464
54,-27.30734467941788,64.30803809810638
55,-27.175764009168205,86.08574018968378
